关都,カントー,Kanto
水涟镇,レンリタウン,Couriway Town
映雪市,エイセツシティ,Snowbelle City
奇楠市,キナンシティ,Kiloude City
一之岛,１の岛,One Island
二之岛,２の岛,Two Island
三之岛,３の岛,Three Island
四之岛,４の岛,Four Island
五之岛,５の岛,Five Island
六之岛,６の岛,Six Island
七之岛,７の岛,Seven Island
春临镇,リングタウン,Ringtown
夏漫岛,サマランド,Summerland
秋露市,フォルシティ,Fall City
冬迎镇,ウインタウン,Wintown
奇克拉村,チコレむら,Chicole Village
比安镇,ビエンタウン,Vientown
普艾尔镇,ブエルタウン,Pueltown
沸腾岛,ボイルランド,Boyleland
哈尔巴村,ハルバむら,Haruba Village
冰雪之村,ブルブルキャンプ,Shiver Camp
玛瑙村,アゲトビレッジ,Agate Village
堇青港,アイオポート,Gateon Port
矽铍市,フェナスシティ,Phenac City
黄铁镇,パイラタウン,Pyrite Town
地下城,アンダー,The Under
甜糖果岛,ドロップじま,Dolce Island
彩虹岛,レインボじま,Renbow Island
米罗达岛,ミロンダじま,Mitonga Island
法尔泰拉岛,ファルデラじま,Faldera Island
索菲亚纳岛,ソピアナじま,Sophian Island
雷云岛,ライウンじま,Layuda Island
锡克丽丽岛,シクレレじま,Tilikule Island
青叶之国,アオバの国,Greenleaf
泉水之国,イズミの国,Fontaine
火焰之国,カエンの国,Ignis
奇岩之国,キガンの国,Cragspur
幻梦之国,ゲンムの国,Illusio
拳斗之国,コブシの国,Pugilis
虫蛹之国,サナギの国,Chrysalia
紫电之国,シデンの国,Violight
大地之国,ダイチの国,Terrera
飞翼之国,ツバサの国,Avia
毒牙之国,ドクガの国,Viperia
初始之国,ハジメの国,Aurora
不屈之国,フクツの国,Valora
吹雪之国,フブキの国,Nixtorm
御灵之国,ミタマの国,Spectra
夜叉之国,ヤシャの国,Yaksha
神龙之国,リュウの国,Dragnor
华蓝洞,ハナダの洞窟,Cerulean Cave
彩虹百货大楼,タマムシデパート,Celadon Department Store
单车路,サイクリングロード,Cycling Road
地鼠洞,ディグダの穴,Diglett's Cave
石英高原,セキエイ高原,Indigo Plateau
月见山,お月见山,Mt. Moon
月见山广场,お月见山広场,Mt. Moon Square
神奇宝贝屋,ポケモン屋敷,Pokémon Mansion
神奇宝贝塔,ポケモンタワー,Pokémon Tower
无人发电站,无人発电所,Power Plant
岩山隧道,イワヤマトンネル,Rock Tunnel
野生原野区,サファリゾーン,Safari Zone
海岸小屋,岬の小屋,Sea Cottage
双子岛,双子岛,Seafoam Islands
匿音之桥,サイレンズブリッジ,Silence Bridge
希鲁夫公司,シルフカンパニー,Silph Co.
圣安奴号,サント・アンヌ号,S.S. Anne
都城瀑布,トージョウの滝,Tohjo Falls
地下通路,地下通路,Underground Path
冠军之路,チャンピオンロード,Victory Road
常磐森林,トキワの森,Viridian Forest
对战开拓区,バトルフロンティア,Battle Frontier
对战塔,バトルタワー,Battle Tower
铃音小道,スズ音の小道,Bellchime Trail
烧焦塔,焼けた塔,Burned Tower
断崖洞窟,断崖の洞窟,Cliff Cave
断崖入口,崖っぷちゲート,Cliff Edge Gate
黑暗穴,暗暗の洞穴,Dark Cave
埋藏之塔,埋もれの塔,Embedded Tower
龙穴,龙の穴,Dragon's Den
光辉灯塔,辉きの灯台,Glitter Lighthouse
开拓区入口,フロンティアフロント,Frontier Access
冰雪通路,氷の抜け道,Ice Path
桐树林,ウバメの森,Ilex Forest
愤怒之湖,怒りの湖,Lake of Rage
摩摩牧场,モーモー牧场,MooMoo Farm
擂钵山,スリバチ山,Mt. Mortar
白银山,シロガネ山,Mt. Silver
自然公园,自然公园,National Park
神奇宝贝全能竞技赛巨蛋,ポケスロンドーム,Pokéathlon Dome
收讯塔,ラジオ塔,Radio Tower
阿露福遗迹,アルフの遗迹,Ruins of Alph
野生原野区入口,サファリゾーンゲート,Safari Zone Gate
神都遗迹,シント遗迹,Sinjoh Ruins
呆呆兽之井,ヤドンの井戸,Slowpoke Well
喇叭芽之塔,マダツボミの塔,Sprout Tower
铃铛塔,スズの塔,Bell Tower
互连洞,繋がりの洞窟,Union Cave
漩涡列岛,涡巻き岛,Whirl Islands
弃船,舍てられ船,Abandoned Ship
古代坟墓,古代冢,Ancient Tomb
工匠之穴,アトリエのあな,Artisan Cave
对战开拓区,バトルフロンティア,Battle Frontier
觉醒祠堂,目覚めの丛祠,Cave of Origin
沙漠遗迹,砂漠遗迹,Desert Ruins
沙漠的地下道,砂漠の地下道,Desert Underpass
边境的小岛,最果ての孤岛,Faraway Island
热焰小径,炎の抜け道,Fiery Path
石之洞窟,石の洞窟,Granite Cave
小岛横穴,小岛の横穴,Island Cave
凹凸山道,デコボコ山道,Jagged Pass
海之窟,海の洞窟,Marine Cave
流星瀑布,流星の滝,Meteor Falls
梦幻岛,幻岛,Mirage Island
幻影之塔,幻影の塔,Mirage Tower
烟突山,烟突山,Mt. Chimney
送火山,送り火山,Mt. Pyre
新紫堇,ニューキンセツ,New Mauville
橙华森林,トウカの森,Petalburg Woods
卡绿隧道,カナシダトンネル,Rusturf Tunnel
天旱焦岩,日照りの岩戸,Scorched Slab
海底洞窟,海底洞窟,Seafloor Cavern
布告石室,お触れの石室,Sealed Chamber
浅滩洞穴,浅瀬の洞穴,Shoal Cave
天空之柱,空の柱,Sky Pillar
南方孤岛,南の孤岛,Southern Island
陆之窟,陆の洞窟,Terra Cave
训练家之丘,トレーナーヒル,Trainer Hill
天气研究所,天気研究所,Weather Institute
沟通广场,触れ合い広场,Amity Square
对战开拓区,バトルフロンティア,Battle Frontier
对战特区,バトルゾーン,Battle Zone
对战公园,バトルパーク,Battle Park
山中小屋,山小屋,Café Cabin
破格的世界,破れた世界,Distortion World
战斗区,ファイトエリア,Fight Area
苑之花田,ソノオの花畑,Floaroma Meadow
花之乐园,花の楽園,Flower Paradise
足迹博士的家,足跡博士の家,Footstep House
异文化建筑,異文化の建物,Foreign Building
满月岛,満月島,Fullmoon Island
多多罗铁工厂,タタラ制鉄所,Fuego Ironworks
全球终端,グローバルターミナル,Global Terminal
湖畔度假村,ホテルグランドレイク,Hotel Grand Lake
大湿地,大湿原,Great Marsh
初始之间,始まりの间,Hall of Origin
冰山遗迹,氷山の遗迹,Iceberg Ruins
钢铁岛,钢鉄岛,Iron Island
钢铁遗迹,黒鉄の遺跡,Iron Ruins
睿智湖,エイチ湖,Lake Acuity
立志湖,リッシ湖,Lake Valor
心齐湖,シンジ湖,Lake Verity
炭坑博物馆,炭坑博物館,Mining Museum
天冠山,テンガン山,Mt. Coronet
新月岛,新月島,Newmoon Island
森之洋馆,森の洋館,Old Chateau
朋友公园,パルパーク,Pal Park
神奇宝贝表公司,ポケッチカンパニー,Pokétch Company
荒芜小道,荒れた抜け道,Ravaged Path
名胜区,リゾートエリア,Resort Area
岩山遗迹,岩山の遺跡,Rock Peak Ruins
海上小径,海割れの道,Seabreak Path
送泉,送りの泉,Sendoff Spring
七星级七星饭店,レストラン七つ星,Seven Stars Restaurant
枪柱,槍の柱,Spear Pillar
隐泉之路,隠れ泉への道,Spring Path
严酷山,ハードマウンテン,Stark Mountain
生存区,サバイバルエリア,Survival Area
归途洞窟,戻りの洞窟,Turnback Cave
自豪的后院,自慢の裏庭,Trophy Garden
山谷间的发电场,谷間の発電所,Valley Windworks
导航灯塔,シルベの灯台,Vista Lighthouse
迷幻洞窟,迷いの洞窟,Wayward Cave
梦的遗址,夢の跡地,Dreamyard
地下水脉之穴,地下水脈の穴,Wellspring Cave
矢车森林,ヤグルマの森,Pinwheel Forest
天之箭桥,スカイアローブリッジ,Skyarrow Bridge
自由庭院岛,リバティガーデン島,Liberty Garden
荒野名胜区,リゾートデザート,Desert Resort
古代城堡,古代の城,Relic Castle
对战地下铁,バトルサブウェイ,Battle Subway
迷幻森林,迷いの森,Lostlorn Forest
帆巴吊桥,ホドモエの跳ね橋,Driftveil Drawbridge
冷冻仓库,冷凍コンテナ,Cold Storage
吹寄洞穴,フキヨセの洞穴,Mistralton Cave
电石洞穴,電気石の洞穴,Chargestone Cave
天堂之塔,タワーオブヘブン,Celestial Tower
罗斯山,ネジ山,Twist Mountain
龙螺旋之塔,リュウラセンの塔,Dragonspiral Tower
雪花湿地,セッカの湿原,Moor of Icirrus
圆筒桥,シリンダーブリッジ,Tubeline Bridge
修行岩屋,修行の岩屋,Challenger's Cave
小波湾,サザナミ湾,Undella Bay
海底遗迹,海底遺跡,Abyssal Ruins
丰饶之社,ほうじょうの社,Abundant Shrine
传送工厂,シフトファクトリー,Poké Transfer Lab
白色森林,ホワイトフォレスト,White Forest
冠军之路,チャンピオンロード,Victory Road
N的城堡,Ｎの城,N's Castle
P2实验室,Ｐ２ラボ,P2 Laboratory
巨人洞窟,ジャイアントホール,Giant Chasm
村庄桥,ビレッジブリッジ,Village Bridge
奇妙之桥,ワンダーブリッジ,Marvelous Bridge
潜入连接,ハイリンク,Entralink
联合塔,ユナイテッドタワー,Unity Tower
算木牧场,サンギぼくじょう,Floccesy Ranch
心之空洞,心の空洞,Cave of Being
誓约森林,ちかいのはやし,Pledge Grove
神奇宝贝好莱坞,ポケウッド,Pokéstar Studios
立涌联合工业区,タチワキコンビナート,Virbank Complex
飞云地下水道,ヒウン下水道,Castelia Sewers
古代秘道,古代の抜け道,Relic Passage
菊老大路,ヤーコンロード,Clay Tunnel
地底遗迹,地底遗迹,Underground Ruins
反转山,リバースマウンテン,Reversal Mountain
海洋隧道,マリンチューブ,Marine Tube
海边洞穴,海辺の洞穴,Seaside Cave
电浆巡防舰,プラズマフリゲート,Plasma Frigate
自然保护区,自然保护区,Nature Preserve
神奇宝贝世界锦标赛,ポケモンワールドトーナメント,Pokémon World Tournament
加盟大道,ジョインアベニュー,Join Avenue
外人之屋,ストレンジャハウス,Strange House
隐藏洞穴,隠し穴,Hidden Grotto
白檀森林,ハクダンの森,Santalune Forest
虚空之间,空ろの间,Chamber of Emptiness
香水宫殿,パルファム宫殿,Parfum Palace
对战古堡,バトルシャトー,Battle Chateau
树果田,きのみ畑,Berry fields
连地洞穴,地つなぎの洞穴,Connecting Cave
闪耀洞窟,辉きの洞窟,Glittering Cave
镜穴,映し身の洞窟,Reflective Cave
精練之塔,マスタータワー,Tower of Mastery
蔚蓝湾,アズール湾,Azure Bay
海神之穴,海神の穴,Sea Spirit's Den
卡洛斯发电厂,カロス発电所,Kalos Power Plant
宝贝球工厂,ボール工场,Poké Ball Factory
荒废旅馆,荒れ果てホテル,Lost Hotel
冰霜洞穴,フロストケイブ,Frost Cavern
弗拉达利实验室,フラダリラボ,Lysandre Labs
闪焰队秘密基地,フレア団秘密基地,Team Flare HQ
终端洞窟,终の洞窟,Terminus Cave
神奇宝贝村庄,ポケモンの村,Pokémon Village
冠军之路,チャンピオンロード,Victory Road
无名洞窟,ななしの洞窟,Unknown Dungeon
对战宅第,バトルハウス,Battle Maison
朋友原野区,フレンドサファリ,Friend Safari
变化洞窟,変化の洞窟,Altering Cave
果实森林,木の実の森,Berry Forest
诞生之岛,誕生の島,Birth Island
索桥,絆橋,Bond Bridge
溪谷入口,渓谷入口,Canyon Entrance
歧波海湾,際の岬,Cape Brink
点之穴,点の穴,Dotted Hole
五之岛空地,５の島　空き地,Five Isle Meadow
绿之步道,緑の散歩道,Green Path
冻瀑洞窟,凍て滝の洞窟,Icefall Cave
火照山道,火照りの道,Kindle Road
不归之穴,変えらずの穴,Lost Cave
回忆之塔,思い出の塔,Memorial Pillar
灯火山,灯山,Mt. Ember
肚脐岩,臍の岩,Navel Rock
外岛,外れの島,Outcast Island
记号树林,印の林,Pattern Bush
高级度假村,ゴージャスリゾート,Resort Gorgeous
火箭队仓库,ロケット団倉庫,Rocket Warehouse
遗迹山谷,遺跡の谷,Ruin Valley
七宝溪谷,七宝渓谷,Sevault Canyon
阿斯卡纳遗迹,アスカナ遺跡,Tanoby Ruins
阿斯卡纳的锁,アスカナの键,Tanoby Key
珍宝海滩,宝の浜,Treasure Beach
训练家之塔,トレーナータワー,Trainer Tower
水之迷宫,水の迷路,Water Labyrinth
水之步道,水の散歩道,Water Path
阿尔米亚古城,アルミアのおしろ,Almia Castle
安和奴大厦,アンヘル·コーポレーション,Altru Building
安和奴公园,アンヘルパーク,Altru Park
安和奴塔,アンヘルタワー,Altru Tower
捕猎竞技场,キャプチャ?アリーナ,Capture Arena
货船,かもつせん,Cargo Ship
奇克拉小路,チコレのこみち,Chicole Path
努里艾高原,ヌリエこうげん,Chroma Highlands
努里艾遗迹,ヌリエのいせき,Chroma Ruins
水晶洞穴,クリスタどうくつ,Crysta Cave
哈尔巴沙漠,ハルバさばく,Haruba Desert
冰之平原,ヒアバレー,Hia Valley
河马兽神殿,カバルドンしんでん,Hippowdon Temple
冰之湖,こおりのみずうみ,Ice Lake
海之洞穴,うみのどうくつ,Marine Cave
普艾尔海,プエルおき,Puel Sea
保育家培育学园,レンジャースクール,Ranger School
保育家联盟,レンジャーユニオン,Ranger Union
巨鲸王之海,ホエルオーのうみ,Sea of Wailord
海底油田基地,かいていゆでんアジト,Oil Field Hideout
命之悬崖,イノチがけ,Peril Cliffs
联盟之路,ユニオンかいどう,Union Road
比安森林,ビエンのもり,Vien Forest
火山洞穴,かざんのどうくつ,Volcano Cave
对战山,バトル山,Mt. Battle
雄黄塔,ラガルタワー,Realgam Tower
榴辉峡谷,エクロ峡谷,Eclo Canyon
镍暗岛,ニケルダーク岛,Citadark Isle
