Vital Spirit,やるき,干劲,幹勁,元气,元氣,干劲,幹勁
White Smoke,しろいけむり,白色烟雾,白色煙霧,白色烟雾,白色煙霧,白色烟雾,白色煙霧
Pure Power,ヨガパワー,瑜伽之力,瑜伽之力,瑜珈神力,瑜珈神力,瑜伽之力,瑜伽之力
Shell Armor,シェルアーマー,硬壳盔甲,硬殼盔甲,贝壳盔甲,貝殼盔甲,硬壳盔甲,硬殼盔甲
Air Lock,エアロック,气闸,氣閘,气闸,氣閘,气闸,氣閘
Tangled Feet,ちどりあし,蹒跚,蹣跚,蹒跚,蹣跚,蹒跚,蹣跚
Motor Drive,でんきエンジン,电气引擎,電氣引擎,电气引擎,電氣引擎,电气引擎,電氣引擎
Rivalry,とうそうしん,斗争心,鬥爭心,斗争心,鬥爭心,斗争心,鬥爭心
Steadfast,ふくつのこころ,不屈之心,不屈之心,不屈之心,不屈之心,不屈之心,不屈之心
Snow Cloak,ゆきがくれ,雪隐,雪隱,雪里隐身,雪裡隱身,雪隐,雪隱
Gluttony,くいしんぼう,贪吃鬼,貪吃鬼,贪吃鬼,貪吃鬼,贪吃鬼,貪吃鬼
Anger Point,いかりのつぼ,愤怒穴位,憤怒穴位,愤怒穴道,憤怒穴道,愤怒穴位,憤怒穴位
Unburden,かるわざ,轻装,輕裝,杂技,雜技,轻装,輕裝
Heatproof,たいねつ,耐热,耐熱,耐热,耐熱,耐热,耐熱
Simple,たんじゅん,单纯,單純,单纯,單純,单纯,單純
Dry Skin,かんそうはだ,干燥皮肤,乾燥皮膚,干燥皮肤,乾燥皮膚,干燥皮肤,乾燥皮膚
Download,ダウンロード,下载,下載,下载,下載,下载,下載
Iron Fist,てつのこぶし,铁拳,鐵拳,铁拳,鐵拳,铁拳,鐵拳
Poison Heal,ポイズンヒール,毒疗,毒療,毒疗,毒療,毒疗,毒療
Adaptability,てきおうりょく,适应力,適應力,适应力,適應力,适应力,適應力
Skill Link,スキルリンク,连续攻击,連續攻擊,连续攻击,連續攻擊,连续攻击,連續攻擊
Hydration,うるおいボディ,湿润之躯,濕潤之軀,湿润身体,濕潤身體,湿润之躯,濕潤之軀
Solar Power,サンパワー,太阳之力,太陽之力,太阳能量,太陽能量,太阳之力,太陽之力
Quick Feet,はやあし,飞毛腿,飛毛腿,飞毛腿,飛毛腿,飞毛腿,飛毛腿
Normalize,ノーマルスキン,一般皮肤,一般皮膚,一般皮肤,一般皮膚,一般皮肤,一般皮膚
Sniper,スナイパー,狙击手,狙擊手,狙击手,狙擊手,狙击手,狙擊手
Magic Guard,マジックガード,魔法防守,魔法防守,魔法防御,魔法防禦,魔法防守,魔法防守
No Guard,ノーガード,无防守,無防守,无防御,無防禦,无防守,無防守
Stall,あとだし,慢出,慢出,慢出,慢出,慢出,慢出
Technician,テクニシャン,技术高手,技術高手,技术员,技術員,技术高手,技術高手
Leaf Guard,リーフガード,叶子防守,葉子防守,叶片防御,葉片防禦,叶子防守,葉子防守
Klutz,ぶきよう,笨拙,笨拙,笨拙,笨拙,笨拙,笨拙
Mold Breaker,かたやぶり,破格,破格,革新,革新,破格,破格
Super Luck,きょううん,超幸运,超幸運,强运,強運,超幸运,超幸運
Aftermath,ゆうばく,引爆,引爆,引爆,引爆,引爆,引爆
Anticipation,きけんよち,危险预知,危險預知,预知危险,預知危險,危险预知,危險預知
Forewarn,よちむ,预知梦,預知夢,预知梦,預知夢,预知梦,預知夢
Unaware,てんねん,纯朴,純樸,后知后觉,後知後覺,纯朴,純樸
Tinted Lens,いろめがね,有色眼镜,有色眼鏡,有色眼镜,有色眼鏡,有色眼镜,有色眼鏡
Filter,フィルター,过滤,過濾,过滤,過濾,过滤,過濾
Slow Start,スロースタート,慢启动,慢啟動,错失先机,錯失先機,错失先机,錯失先機
Scrappy,きもったま,胆量,膽量,胆量,膽量,胆量,膽量
Storm Drain,よびみず,引水,引水,引水,引水,引水,引水
Ice Body,アイスボディ,冰冻之躯,冰凍之軀,冰冻身体,冰凍身體,冰冻之躯,冰凍之軀
Solid Rock,ハードロック,坚硬岩石,堅硬岩石,坚石,堅石,坚硬岩石,堅硬岩石
Snow Warning,ゆきふらし,降雪,降雪,降雪,降雪,降雪,降雪
Honey Gather,みつあつめ,采蜜,採蜜,采蜜,採蜜,采蜜,採蜜
Frisk,おみとおし,察觉,察覺,看穿,看穿,察觉,察覺
Reckless,すてみ,舍身,捨身,舍身,捨身,舍身,捨身
Multitype,マルチタイプ,多属性,多屬性,多元系,多元系,多属性,多屬性
Flower Gift,フラワーギフト,花之礼,花之禮,花之礼,花之禮,花之礼,花之禮
Bad Dreams,ナイトメア,梦魇,夢魘,恶梦,惡夢,梦魇,夢魘
Pickpocket,わるいてぐせ,顺手牵羊,順手牽羊,偷盗恶习,偷盜惡習,顺手牵羊,順手牽羊
Sheer Force,ちからずく,强行,強行,用力,用力,强行,強行
Contrary,あまのじゃく,唱反调,唱反調,性情乖僻,性情乖僻,唱反调,唱反調
Unnerve,きんちょうかん,紧张感,緊張感,紧张感,緊張感,紧张感,緊張感
Defiant,まけんき,不服输,不服輸,不服输,不服輸,不服输,不服輸
Defeatist,よわき,软弱,軟弱,软弱,軟弱,软弱,軟弱
Cursed Body,のろわれボディ,诅咒之躯,詛咒之軀,诅咒身体,詛咒身體,诅咒之躯,詛咒之軀
Healer,いやしのこころ,治愈之心,治癒之心,治愈之心,治癒之心,治愈之心,治癒之心
Friend Guard,フレンドガード,友情防守,友情防守,同伴守护,夥伴守護,友情防守,友情防守
Weak Armor,くだけるよろい,碎裂铠甲,碎裂鎧甲,碎甲,碎甲,碎裂铠甲,碎裂鎧甲
Heavy Metal,ヘヴィメタル,重金属,重金屬,重合金,重合金,重金属,重金屬
Light Metal,ライトメタル,轻金属,輕金屬,轻合金,輕合金,轻金属,輕金屬
Multiscale,マルチスケイル,多重鳞片,多重鱗片,多重鳞片,多重鱗片,多重鳞片,多重鱗片
Toxic Boost,どくぼうそう,中毒激升,中毒激升,毒暴走,毒暴走,中毒激升,中毒激升
Flare Boost,ねつぼうそう,受热激升,受熱激升,热暴走,熱暴走,受热激升,受熱激升
Harvest,しゅうかく,收获,收穫,收获,收穫,收获,收穫
Telepathy,テレパシー,心灵感应,心靈感應,超感知,超感知,心灵感应,心靈感應
Moody,ムラっけ,心情不定,心情不定,心智不定,心智不定,心情不定,心情不定
Overcoat,ぼうじん,防尘,防塵,防尘,防塵,防尘,防塵
Poison Touch,どくしゅ,毒手,毒手,毒手,毒手,毒手,毒手
Regenerator,さいせいりょく,再生力,再生力,再生力,再生力,再生力,再生力
Big Pecks,はとむね,健壮胸肌,健壯胸肌,鸽胸,鴿胸,健壮胸肌,健壯胸肌
Sand Rush,すなかき,拨沙,撥沙,挖沙,挖沙,拨沙,撥沙
Wonder Skin,ミラクルスキン,奇迹皮肤,奇跡皮膚,奇迹皮肤,奇蹟皮膚,奇迹皮肤,奇蹟皮膚
Analytic,アナライズ,分析,分析,分析,分析,分析,分析
Illusion,イリュージョン,幻觉,幻覺,幻觉,幻覺,幻觉,幻覺
Imposter,かわりもの,变身者,變身者,替代品,替代品,变身者,變身者
Infiltrator,すりぬけ,穿透,穿透,穿透,穿透,穿透,穿透
Mummy,ミイラ,木乃伊,木乃伊,木乃伊,木乃伊,木乃伊,木乃伊
Moxie,じしんかじょう,自信过度,自信過度,自信过剩,自信過剩,自信过度,自信過度
Justified,せいぎのこころ,正义之心,正義之心,正义之心,正義之心,正义之心,正義之心
Rattled,びびり,胆怯,膽怯,颤抖,顫抖,胆怯,膽怯
Magic Bounce,マジックミラー,魔法镜,魔法鏡,魔法反射,魔法反射,魔法镜,魔法鏡
Sap Sipper,そうしょく,食草,食草,草食,草食,食草,食草
Prankster,いたずらごころ,恶作剧之心,惡作劇之心,恶作剧之心,惡作劇之心,恶作剧之心,惡作劇之心
Sand Force,すなのちから,沙之力,沙之力,砂之力,砂之力,沙之力,沙之力
Iron Barbs,てつのトゲ,铁刺,鐵刺,铁刺荆棘,鐵刺荊棘,铁刺,鐵刺
Zen Mode,ダルマモード,达摩模式,達摩模式,不倒翁模式,不倒翁模式,达摩模式,達摩模式
Victory Star,しょうりのほし,胜利之星,勝利之星,胜利之星,勝利之星,胜利之星,勝利之星
Turboblaze,ターボブレイズ,涡轮火焰,渦輪火焰,涡轮高温,渦輪高溫,涡轮火焰,渦輪火焰
Teravolt,テラボルテージ,兆级电压,兆級電壓,兆级电压,兆級電壓,兆级电压,兆級電壓
Aroma Veil,アロマベール,芳香幕,芳香幕,芳香之幕,芳香之幕,芳香幕,芳香幕
Flower Veil,フラワーベール,花幕,花幕,花幕,花幕,花幕,花幕
Cheek Pouch,ほおぶくろ,颊囊,頰囊,颊囊,頰囊,颊囊,頰囊
Protean,へんげんじざい,变幻自如,變幻自如,变幻自在,變幻自在,变幻自如,變幻自如
Fur Coat,ファーコート,毛皮大衣,毛皮大衣,毛皮外衣,毛皮外衣,毛皮大衣,毛皮大衣
Magician,マジシャン,魔术师,魔術師,魔术师,魔術師,魔术师,魔術師
Bulletproof,ぼうだん,防弹,防彈,防弹,防彈,防弹,防彈
Competitive,かちき,好胜,好勝,好胜,好勝,好胜,好勝
Strong Jaw,がんじょうあご,强壮之颚,強壯之顎,下颚结实,下顎結實,强壮之颚,強壯之顎
Refrigerate,フリーズスキン,冰冻皮肤,冰凍皮膚,冰冻皮肤,冰凍皮膚,冰冻皮肤,冰凍皮膚
Sweet Veil,スイートベール,甜幕,甜幕,甜幕,甜幕,甜幕,甜幕
Stance Change,バトルスイッチ,战斗切换,戰鬥切換,战斗转换,戰鬥轉換,战斗切换,戰鬥切換
Gale Wings,はやてのつばさ,疾风之翼,疾風之翼,疾风之翼,疾風之翼,疾风之翼,疾風之翼
Mega Launcher,メガランチャー,超级发射器,超級發射器,超级发射器,超級發射器,超级发射器,超級發射器
Grass Pelt,くさのけがわ,草之毛皮,草之毛皮,草之毛皮,草之毛皮,草之毛皮,草之毛皮
Symbiosis,きょうせい,共生,共生,共生,共生,共生,共生
Tough Claws,かたいツメ,硬爪,硬爪,坚硬爪子,堅硬爪子,硬爪,硬爪
Pixilate,フェアリースキン,妖精皮肤,妖精皮膚,妖精皮肤,妖精皮膚,妖精皮肤,妖精皮膚
Gooey,ぬめぬめ,黏滑,黏滑,滑溜溜,滑溜溜,黏滑,黏滑
Aerilate,スカイスキン,飞行皮肤,飛行皮膚,天空皮肤,天空皮膚,飞行皮肤,飛行皮膚
Parental Bond,おやこあい,亲子爱,親子愛,亲子爱,親子愛,亲子爱,親子愛
Dark Aura,ダークオーラ,暗黑气场,暗黑氣場,黑暗气氛,黑暗氣氛,暗黑气场,暗黑氣場
Fairy Aura,フェアリーオーラ,妖精气场,妖精氣場,妖精气氛,妖精氣氛,妖精气场,妖精氣場
Aura Break,オーラブレイク,气场破坏,氣場破壞,气氛破坏,氣氛破壞,气场破坏,氣場破壞
Primordial Sea,はじまりのうみ,始源之海,始源之海,始源之海,始源之海,始源之海,始源之海
Desolate Land,おわりのだいち,终结之地,終結之地,终结之地,終結之地,终结之地,終結之地
Delta Stream,デルタストリーム,德尔塔气流,德爾塔氣流,德尔塔气流,德爾塔氣流,德尔塔气流,德爾塔氣流
